series,month,value
Belgium & Luxembourg,2010-01,1954
Belgium & Luxembourg,2010-02,1882
Belgium & Luxembourg,2010-03,2249
Belgium & Luxembourg,2010-04,2089
Belgium & Luxembourg,2010-05,1542
Belgium & Luxembourg,2010-06,1535
Belgium & Luxembourg,2010-07,2625
Belgium & Luxembourg,2010-08,2542
Belgium & Luxembourg,2010-09,1878
Belgium & Luxembourg,2010-10,1977
Belgium & Luxembourg,2010-11,2168
Belgium & Luxembourg,2010-12,1958
Belgium & Luxembourg,2011-01,2059
Belgium & Luxembourg,2011-02,1755
Belgium & Luxembourg,2011-03,2452
Belgium & Luxembourg,2011-04,2198
Belgium & Luxembourg,2011-05,1623
Belgium & Luxembourg,2011-06,1498
Belgium & Luxembourg,2011-07,2683
Belgium & Luxembourg,2011-08,2464
Belgium & Luxembourg,2011-09,1819
Belgium & Luxembourg,2011-10,2222
Belgium & Luxembourg,2011-11,2181
Belgium & Luxembourg,2011-12,2025
Belgium & Luxembourg,2012-01,2153
Belgium & Luxembourg,2012-02,2392
Belgium & Luxembourg,2012-03,2610
Belgium & Luxembourg,2012-04,2637
Belgium & Luxembourg,2012-05,1661
Belgium & Luxembourg,2012-06,1669
Belgium & Luxembourg,2012-07,2884
Belgium & Luxembourg,2012-08,2692
Belgium & Luxembourg,2012-09,1970
Belgium & Luxembourg,2012-10,2046
Belgium & Luxembourg,2012-11,2188
Belgium & Luxembourg,2012-12,1922
Belgium & Luxembourg,2013-01,2185
Belgium & Luxembourg,2013-02,1973
Belgium & Luxembourg,2013-03,2712
Belgium & Luxembourg,2013-04,2025
Belgium & Luxembourg,2013-05,1850
Belgium & Luxembourg,2013-06,1735
Belgium & Luxembourg,2013-07,3049
Belgium & Luxembourg,2013-08,2838
Belgium & Luxembourg,2013-09,2051
Belgium & Luxembourg,2013-10,2219
Belgium & Luxembourg,2013-11,2390
Belgium & Luxembourg,2013-12,2325
Belgium & Luxembourg,2014-01,2220
Belgium & Luxembourg,2014-02,2482
Belgium & Luxembourg,2014-03,2821
Belgium & Luxembourg,2014-04,2664
Belgium & Luxembourg,2014-05,1792
Belgium & Luxembourg,2014-06,1654
